,title,recommend,clicks,download,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,emotion
81,52. Etude No.3 In E Major Op.10-3 'Tristesse'_ 에튀드 제 3번 마장조 작품번호 10-3 '내 맘속을 울리는 그대'_swing,2,2787,845,경쾌,ENERGETIC,조금빠르게,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
82,46. Solveing's song_ 솔베이그의 노래_swing,4,2342,659,보통빠르기로,SAD,슬픈,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
83,45. Gymnopedie No.1 - Lent Et Douloureux_ 느리고 고통스럽게_jazz piano,3,2676,679,CHIC,세련,루바토,Jazz,피아노(PIANO),jazz piano,,,,,,,미분류
84,44. Gymnopedie No.1 - Lent Et Douloureux_ 느리고 고통스럽게_pop,6,2715,828,CHIC,세련,보통빠르기로,기타(GUITAR),Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),pop,,,,미분류
85,43. Gymnopedie No.1 - Lent Et Douloureux_ 느리고 고통스럽게_waltz,12,3692,1239,명상,느리게,기타(GUITAR),EMOTIONAL,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),waltz,,,,우울
86,42. Auf Flugeln Des Gesanges Op.34-2_ 노래의 날개 위에 작품번호 34-2_bossa nova,2,2331,569,보통빠르기로,기타(GUITAR),SAD,슬픈,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,미분류
87,41. Auf Flugeln Des Gesanges Op.34-2_ 노래의 날개 위에 작품번호 34-2_swing,6,2519,714,보통빠르기로,기타(GUITAR),SAD,슬픈,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,미분류
88,40. Auf Flugeln Des Gesanges Op.34-2_ 노래의 날개 위에 작품번호 34-2_ballad,5,2379,620,미스터리,MYSTERY,느리게,기타(GUITAR),Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,우울
89,88. Lullaby_ 자장가_국악,8,2895,820,감성,국악,EMOTIONAL,피아노(PIANO),재분류,해금(HAEGEUM),조금느리게,스트링앙상블(STRING ENSEMBLE),,,,,미분류
90,57. Je Te Veux_ 난 그대를 원해요_waltz,12,3795,1601,명상,느리게,EMOTIONAL,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),waltz,,,,,우울
91,58. Una Furtiva Lagrima Da L'Elisir d'Amore_ 남 몰래 흐르는 눈물_bossa nova,6,2863,740,느리게,기타(GUITAR),SAD,슬픈,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,우울
92,59. Una Furtiva Lagrima Da L'Elisir d'Amore_ 남 몰래 흐르는 눈물_swing,4,2753,641,CHIC,세련,보통빠르기로,기타(GUITAR),Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,미분류
93,76. Sarabande_ 사라방드_국악,12,4184,1151,국악,SAD,슬픈,피아노(PIANO),재분류,대금(DAEGEUM),장구(JANGGU),해금(HAEGEUM),조금느리게,,,,미분류
94,77. Symphony No.94 'The Surprise'_ 놀람교향곡_국악,5,3762,1047,국악,경쾌,ENERGETIC,조금빠르게,피아노(PIANO),재분류,대금(DAEGEUM),양금(YANGGEUM),팀파니(TIMPANI),,,,미분류
95,78. Salut d'amour_ 사랑의 인사_국악,31,6714,2414,국악,BRIGHT,밝은,보통빠르기로,피아노(PIANO),재분류,대금(DAEGEUM),양금(YANGGEUM),첼로(CELLO),,,,미분류
96,79. Solveig's Song_ 솔베이지의 노래_국악,13,3503,994,국악,보통빠르기로,SAD,슬픈,피아노(PIANO),재분류,스트링 앙상블(STRING ENSEMBLE),대금(DAEGEUM),,,,,미분류
97,80. waltz no.2 _ 왈츠 작품번호 2번_국악,11,3337,1009,국악,CHIC,세련,조금빠르게,피아노(PIANO),재분류,해금(HAEGEUM),첼로(CELLO),,,,,미분류
98,81. L'Arlesienne-Suite_ 아를르의 여인_국악,10,3762,1046,국악,BRIGHT,밝은,보통빠르기로,피아노(PIANO),재분류,대금(DAEGEUM),양금(YANGGEUM),패드(PAD),,,,미분류
99,82. Varations in C major KV.265_ 작은별 변주곡_국악,24,5494,1965,국악,BRIGHT,밝은,보통빠르기로,피아노(PIANO),재분류,대금(DAEGEUM),해금(HAEGEUM),,,,,미분류
100,83. Moonlight_ 월광_국악,18,4809,1485,국악,SAD,슬픈,피아노(PIANO),재분류,대금(DAEGEUM),조금느리게,,,,,,미분류
101,84. Gymnopedies_ 짐노페디_국악,23,4797,1704,국악,BRIGHT,밝은,보통빠르기로,피아노(PIANO),재분류,대금(DAEGEUM),,,,,,미분류
102,85. Turkish March_ 터키행진곡_국악,14,5067,1188,국악,경쾌,ENERGETIC,빠르게,피아노(PIANO),재분류,대금(DAEGEUM),첼로(CELLO),,,,,기쁨
103,86. Traumerei_ 트로이메라이_국악,7,3024,921,국악,WHITE,깔끔함,피아노(PIANO),재분류,대금(DAEGEUM),조금느리게,스트링앙상블(STRING ENSEMBLE),,,,,미분류
104,75. Nocturne Op.9-2_ 녹턴 작품번호 9-2_국악,11,4783,1731,국악,BRIGHT,밝은,보통빠르기로,피아노(PIANO),재분류,대금(DAEGEUM),,,,,,미분류
105,74. Blumenlied (Flower Song)_ 꽃노래_국악,23,7667,7923,국악,BRIGHT,밝은,보통빠르기로,피아노(PIANO),재분류,대금(DAEGEUM),,,,,,미분류
106,73. Wedding March_ 결혼행진곡_국악,21,6756,1441,국악,경쾌,ENERGETIC,보통빠르기로,피아노(PIANO),재분류,스트링 앙상블(STRING ENSEMBLE),대금(DAEGEUM),,,,,미분류
107,72. Consolation_ 위안_bossa nova,1,1834,555,미스터리,MYSTERY,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,,미분류
108,60. Una Furtiva Lagrima Da L'Elisir d'Amore_ 남 몰래 흐르는 눈물_ballad,7,2992,839,SAD,슬픈,매우느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
109,61. blumenlied (Flower Song)_ 꽃노래_swing,30,7489,2643,BRIGHT,밝은,보통빠르기로,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
110,62. blumenlied (Flower Song)_ 꽃노래_uptempo swing,10,3574,1260,열정,POWERFUL,매우빠르게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),uptempo swing,,,,,기쁨
111,63. blumenlied (Flower Song)_ 꽃노래_waltz,20,4426,1241,WHITE,깔끔함,느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),waltz,,,,,우울
112,64. Donau wellen walzer _ 다뉴브 강의 잔물결_easy listening,2,2274,658,미스터리,MYSTERY,느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),easy listening,,,,,우울
113,48. Solveing's song_ 솔베이그의 노래_bossa nova,4,2066,592,보통빠르기로,SAD,슬픈,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,,미분류
114,65. Donau wellen walzer _ 다뉴브 강의 잔물결_ballad,28,4862,1164,SENTIMENTAL,몽환적,매우느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
115,67. The seasons June_ 사계' 중 '6월'_ballad,2,2035,680,미스터리,MYSTERY,매우느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
116,68. The seasons June_ 사계' 중 '6월'_swing,2,2198,660,미스터리,MYSTERY,조금빠르게,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
117,69. The seasons June_ 사계' 중 '6월'_bossa nova,3,1891,641,미스터리,MYSTERY,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,,미분류
118,70. Consolation_ 위안_ballad,3,2868,770,명상,느리게,EMOTIONAL,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
119,71. Consolation_ 위안_uptempo swing,5,2474,648,열정,POWERFUL,매우빠르게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),uptempo swing,,,,,기쁨
120,66. Donau wellen walzer _ 다뉴브 강의 잔물결_swing,5,2550,825,열정,POWERFUL,보통빠르기로,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
121,47. Solveing's song_ 솔베이그의 노래_ballad,9,3193,965,SAD,슬픈,매우느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
122,행복이 열리는 날,90,9602,3680,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
123,조화 그리고 도약!,17,3353,925,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
124,연모지정,27,3654,991,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
125,I can not forgive you,18,3129,726,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
126,함께라서,67,6360,6553,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
127,눈물을 닦아주오,19,4441,856,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
128,Dandalion,31,3973,1437,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
129,괜찮지 않다,12,3242,801,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
130,소,61,4452,2049,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
131,Her Wail Of Pain,23,4445,1043,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
132,Joy of Victory,32,4289,830,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
133,Joy in Vietnam,31,3838,1130,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
134,그들만의 세계 (Secret Garden),56,7619,2195,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
135,모험,55,4828,1167,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
136,조성욱 - 비가(悲歌),20,4143,952,음악,배경음악,한국저작권위원회,공유저작물,창작공모전,,,,,,,,미분류
